sequence_id,nb_frames,hauteur_image,largeur_image,nb_personnes_detectees,vitesse_moyenne,zone_sensible,variation_mouvement,score_risque,classe,comportement
SEQ_0267,16,32,32,2,2.13,1,0.75,0.76,1,Suspect
SEQ_0268,16,32,32,2,0.7,0,0.2,0.1,0,Normal
SEQ_0269,16,32,32,1,2.14,1,0.75,0.82,1,Suspect
SEQ_0270,16,32,32,1,0.93,0,0.16,0.26,0,Normal
SEQ_0271,16,32,32,3,1.89,1,0.85,0.82,1,Suspect
SEQ_0272,16,32,32,1,0.87,0,0.11,0.32,0,Normal
SEQ_0273,16,32,32,1,1.98,1,0.81,0.94,1,Suspect
SEQ_0274,16,32,32,1,1.04,0,0.16,0.16,0,Normal
SEQ_0275,16,32,32,1,2.29,1,0.93,0.85,1,Suspect
SEQ_0276,16,32,32,1,1.09,0,0.05,0.06,0,Normal
SEQ_0277,16,32,32,1,2.01,1,0.55,0.75,1,Suspect
SEQ_0278,16,32,32,1,0.72,0,0.09,0.09,0,Normal
SEQ_0279,16,32,32,1,1.86,1,0.6,0.92,1,Suspect
SEQ_0280,16,32,32,1,0.66,0,0.18,0.29,0,Normal
SEQ_0281,16,32,32,2,1.6,1,0.81,0.91,1,Suspect
SEQ_0282,16,32,32,1,0.96,0,0.17,0.15,0,Normal
SEQ_0283,16,32,32,1,1.65,1,0.88,0.86,1,Suspect
SEQ_0284,16,32,32,1,0.66,0,0.11,0.28,0,Normal
SEQ_0285,16,32,32,1,1.64,1,0.7,0.79,1,Suspect
SEQ_0286,16,32,32,2,0.88,0,0.14,0.34,0,Normal
SEQ_0287,16,32,32,1,1.69,1,0.65,0.82,1,Suspect
SEQ_0288,16,32,32,2,0.98,0,0.2,0.14,0,Normal
SEQ_0289,16,32,32,1,1.99,1,0.64,0.87,1,Suspect
SEQ_0290,16,32,32,1,0.96,0,0.24,0.32,0,Normal
SEQ_0291,16,32,32,1,1.9,1,0.56,0.82,1,Suspect
SEQ_0292,16,32,32,1,0.66,0,0.21,0.06,0,Normal
SEQ_0293,16,32,32,2,2.07,1,0.78,0.82,1,Suspect
SEQ_0294,16,32,32,1,0.72,0,0.09,0.2,0,Normal
SEQ_0295,16,32,32,2,2.08,1,0.92,0.93,1,Suspect
SEQ_0296,16,32,32,2,0.64,0,0.13,0.32,0,Normal
SEQ_0297,16,32,32,1,2.02,1,0.81,0.77,1,Suspect
SEQ_0298,16,32,32,3,0.63,0,0.23,0.14,0,Normal
SEQ_0299,16,32,32,1,1.6,1,0.87,0.85,1,Suspect
SEQ_0300,16,32,32,1,0.93,0,0.19,0.26,0,Normal
SEQ_0301,16,32,32,3,2.07,1,0.86,0.81,1,Suspect
SEQ_0302,16,32,32,1,0.84,0,0.1,0.35,0,Normal
SEQ_0303,16,32,32,1,1.91,1,0.83,0.92,1,Suspect
SEQ_0304,16,32,32,1,0.62,0,0.17,0.23,0,Normal
SEQ_0305,16,32,32,2,1.78,1,0.88,0.92,1,Suspect
SEQ_0306,16,32,32,2,0.98,0,0.18,0.22,0,Normal
SEQ_0307,16,32,32,2,1.76,1,0.82,0.92,1,Suspect
SEQ_0308,16,32,32,2,0.66,0,0.11,0.33,0,Normal
SEQ_0309,16,32,32,2,1.71,1,0.74,0.93,1,Suspect
SEQ_0310,16,32,32,1,0.86,0,0.07,0.12,0,Normal
SEQ_0311,16,32,32,1,1.72,1,0.57,0.9,1,Suspect
SEQ_0312,16,32,32,1,0.82,0,0.23,0.09,0,Normal
SEQ_0313,16,32,32,2,2.03,1,0.76,0.73,1,Suspect
SEQ_0314,16,32,32,1,0.91,0,0.17,0.16,0,Normal
SEQ_0315,16,32,32,1,1.65,1,0.67,0.88,1,Suspect
SEQ_0316,16,32,32,3,0.86,0,0.06,0.15,0,Normal
SEQ_0317,16,32,32,1,2.26,1,0.88,0.72,1,Suspect
SEQ_0318,16,32,32,1,0.71,0,0.22,0.11,0,Normal
SEQ_0319,16,32,32,2,1.78,1,0.84,0.85,1,Suspect
SEQ_0320,16,32,32,1,0.64,0,0.06,0.3,0,Normal
SEQ_0321,16,32,32,1,2.1,1,0.79,0.76,1,Suspect
SEQ_0322,16,32,32,1,0.97,0,0.05,0.34,0,Normal
SEQ_0323,16,32,32,3,1.71,1,0.81,0.73,1,Suspect
SEQ_0324,16,32,32,1,0.82,0,0.06,0.1,0,Normal
SEQ_0325,16,32,32,1,2.21,1,0.65,0.81,1,Suspect
SEQ_0326,16,32,32,1,0.93,0,0.19,0.15,0,Normal
SEQ_0327,16,32,32,3,2.21,1,0.91,0.82,1,Suspect
SEQ_0328,16,32,32,1,0.69,0,0.21,0.32,0,Normal
SEQ_0329,16,32,32,1,2.08,1,0.57,0.94,1,Suspect
SEQ_0330,16,32,32,2,0.89,0,0.17,0.1,0,Normal
SEQ_0331,16,32,32,1,1.97,1,0.79,0.75,1,Suspect
SEQ_0332,16,32,32,1,0.72,0,0.2,0.06,0,Normal
SEQ_0333,16,32,32,1,1.75,1,0.71,0.94,1,Suspect
SEQ_0334,16,32,32,1,0.88,0,0.06,0.16,0,Normal
SEQ_0335,16,32,32,1,1.71,1,0.74,0.8,1,Suspect
SEQ_0336,16,32,32,1,0.91,0,0.1,0.34,0,Normal
SEQ_0337,16,32,32,1,2.29,1,0.61,0.97,1,Suspect
SEQ_0338,16,32,32,1,0.6,0,0.07,0.26,0,Normal
SEQ_0339,16,32,32,1,1.79,1,0.82,0.71,1,Suspect
SEQ_0340,16,32,32,1,0.8,0,0.08,0.32,0,Normal
SEQ_0341,16,32,32,1,1.8,1,0.83,0.94,1,Suspect
SEQ_0342,16,32,32,1,0.66,0,0.24,0.18,0,Normal
SEQ_0343,16,32,32,2,1.92,1,0.88,0.82,1,Suspect
SEQ_0344,16,32,32,2,0.86,0,0.07,0.2,0,Normal
SEQ_0345,16,32,32,1,1.97,1,0.71,0.71,1,Suspect
SEQ_0346,16,32,32,1,0.8,0,0.11,0.16,0,Normal
SEQ_0347,16,32,32,1,1.84,1,0.67,0.83,1,Suspect
SEQ_0348,16,32,32,1,0.71,0,0.14,0.32,0,Normal
SEQ_0349,16,32,32,1,1.99,1,0.91,0.93,1,Suspect
SEQ_0350,16,32,32,1,0.91,0,0.17,0.11,0,Normal
SEQ_0351,16,32,32,1,1.64,1,0.59,0.87,1,Suspect
SEQ_0352,16,32,32,1,0.62,0,0.22,0.18,0,Normal
SEQ_0353,16,32,32,1,1.65,1,0.89,0.72,1,Suspect
SEQ_0354,16,32,32,2,0.83,0,0.15,0.21,0,Normal
SEQ_0355,16,32,32,2,1.62,1,0.82,0.82,1,Suspect
SEQ_0356,16,32,32,2,0.93,0,0.21,0.31,0,Normal
SEQ_0357,16,32,32,2,1.69,1,0.76,0.92,1,Suspect
SEQ_0358,16,32,32,1,1.06,0,0.13,0.05,0,Normal
SEQ_0359,16,32,32,1,1.79,1,0.81,0.71,1,Suspect
SEQ_0360,16,32,32,1,0.92,0,0.08,0.15,0,Normal
SEQ_0361,16,32,32,1,2.22,1,0.86,0.88,1,Suspect
SEQ_0362,16,32,32,1,1.09,0,0.1,0.26,0,Normal
SEQ_0363,16,32,32,2,2.04,1,0.63,0.7,1,Suspect
SEQ_0364,16,32,32,1,0.74,0,0.25,0.25,0,Normal
SEQ_0365,16,32,32,3,2.07,1,0.95,0.76,1,Suspect
SEQ_0366,16,32,32,1,0.76,0,0.07,0.33,0,Normal
SEQ_0367,16,32,32,1,1.93,1,0.88,0.78,1,Suspect
SEQ_0368,16,32,32,1,0.92,0,0.19,0.1,0,Normal
SEQ_0369,16,32,32,3,2.19,1,0.61,0.97,1,Suspect
SEQ_0370,16,32,32,1,0.76,0,0.24,0.33,0,Normal
SEQ_0371,16,32,32,1,2.12,1,0.93,0.93,1,Suspect
SEQ_0372,16,32,32,1,0.8,0,0.16,0.16,0,Normal
SEQ_0373,16,32,32,1,1.67,1,0.55,0.79,1,Suspect
SEQ_0374,16,32,32,1,0.89,0,0.24,0.08,0,Normal
SEQ_0375,16,32,32,1,2.21,1,0.88,0.73,1,Suspect
SEQ_0376,16,32,32,1,0.64,0,0.24,0.13,0,Normal
SEQ_0377,16,32,32,1,1.93,1,0.75,0.76,1,Suspect
SEQ_0378,16,32,32,1,0.74,0,0.17,0.18,0,Normal
SEQ_0379,16,32,32,1,1.98,1,0.82,0.97,1,Suspect
